Created date / time : 7 April 2024 / 08:55:46,,,,,,
Card Number XXXX-XXXX-XXXX-1588 (Visa Light),,,,,,
From date 20210401,,,,,,
To date 20220331,,,,,,
Date Processed,Date of Transaction,Unique Id,Tran Type,Reference,Description,Amount
,,,,,,
1/04/2021,1/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-76.45
1/04/2021,1/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-75.45
1/04/2021,31/03/2021,,DEBIT,690,Onceit Newmarket,166.67
2/04/2021,2/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-31.58
2/04/2021,1/04/2021,,DEBIT,690,NEW WORLD STONEFIELDS AUCKLAND NZ,9.95
2/04/2021,31/03/2021,,DEBIT,690,KFC PANMURE - 502 PANMURE,1.06
2/04/2021,1/04/2021,,DEBIT,690,BURGER FUEL MT WELLINGTON AUCKLAND,16.61
2/04/2021,1/04/2021,,DEBIT,690,OPEN CAFE AND CATERING AUCKLAND,1.17
3/04/2021,3/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-24.23
3/04/2021,3/04/2021,,DEBIT,690,NETFLIX.COM LOS GATOS CA,24.2
5/04/2021,4/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-1.62
5/04/2021,5/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-88.13
5/04/2021,5/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-3.95
5/04/2021,5/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-3.95
5/04/2021,5/04/2021,,DEBIT,690,Z Panmure Auckland,14.85
5/04/2021,4/04/2021,,DEBIT,690,LOLA AUCKLAND,1.98
5/04/2021,3/04/2021,,DEBIT,690,MCDONALDS MT WELLINGTON AUCKLAND,2.11
6/04/2021,6/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-4.94
7/04/2021,5/04/2021,,DEBIT,690,KFC PANMURE - 502 PANMURE,4.01
7/04/2021,5/04/2021,,DEBIT,690,MCDONALDS MT WELLINGTON AUCKLAND,4.92
7/04/2021,5/04/2021,,DEBIT,690,APPLE.COM/BILL SYDNEY,11.27
9/04/2021,8/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-35.51
9/04/2021,9/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-107.37
9/04/2021,8/04/2021,,DEBIT,690,BURGER FUEL MT WELLINGTON AUCKLAND,27.91
9/04/2021,8/04/2021,,DEBIT,690,PAPER CRANE AUCKLAND,19.46
10/04/2021,10/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-45.35
10/04/2021,9/04/2021,,DEBIT,690,BURGER FUEL MT WELLINGTON AUCKLAND,22.43
10/04/2021,8/04/2021,,DEBIT,690,KFC PANMURE - 502 PANMURE,3.72
10/04/2021,9/04/2021,,DEBIT,690,BUNNINGS - 9493 MT WELLINGTON,31.23
10/04/2021,9/04/2021,,DEBIT,690,LOLA AUCKLAND,20.18
10/04/2021,9/04/2021,,DEBIT,690,LOLA AUCKLAND,8.04
10/04/2021,8/04/2021,,DEBIT,690,MCDONALDS MT WELLINGTON AUCKLAND,3.48
11/04/2021,10/04/2021,,DEBIT,690,LITTLE ELEPHANTS CAFE AUCKLAND,6.07
11/04/2021,9/04/2021,,DEBIT,690,US Mobile 888-8781488 NY 9.07 US DOLLAR at a Conversion Rate  of 0.7009 (NZ$12.94),10.41
11/04/2021,9/04/2021,,DEBIT,690,OFFSHORE SERVICE MARGINS,0.35
12/04/2021,11/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-20
12/04/2021,12/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-1.24
12/04/2021,11/04/2021,,DEBIT,690,Z Panmure Auckland,37.68
13/04/2021,13/04/2021,,DEBIT,690,PAK N SAVE SYLVIA PARK AUCKLAND,12.2
13/04/2021,12/04/2021,,DEBIT,690,PARKMATE NZ AUCKLAND,4.71
13/04/2021,11/04/2021,,DEBIT,690,KFC PANMURE - 502 PANMURE,3.8
14/04/2021,13/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-132.23
14/04/2021,13/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-101.56
14/04/2021,13/04/2021,,DEBIT,690,SUBWAY EPSOM AUCKLAND,4.55
15/04/2021,15/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-477.44
16/04/2021,14/04/2021,,DEBIT,690,SOMETHING AND SOCIAL AUCKLAND,59.07
16/04/2021,15/04/2021,,DEBIT,690,SKINNY AUCKLAND,7.72
16/04/2021,14/04/2021,,DEBIT,690,AIA NEW ZEALAND 094888800,86.72
17/04/2021,17/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-1037.68
17/04/2021,15/04/2021,,DEBIT,690,MCDONALDS MT WELLINGTON AUCKLAND,7.36
17/04/2021,15/04/2021,,DEBIT,690,ALIEXPRESS.COM London,2.88
17/04/2021,15/04/2021,,DEBIT,690,PAYPAL  AIRBNB  HM5BS9 35314369001,36.65
17/04/2021,15/04/2021,,DEBIT,690,WWW.ALIEXPRESS.COM LONDON,788.82
17/04/2021,15/04/2021,,DEBIT,690,ALIEXPRESS.COM London,23.18
17/04/2021,15/04/2021,,DEBIT,690,ALIEXPRESS.COM London,0.88
17/04/2021,15/04/2021,,DEBIT,690,ALIEXPRESS.COM London,4.38
17/04/2021,15/04/2021,,DEBIT,690,ALIEXPRESS.COM London,21.49
17/04/2021,15/04/2021,,DEBIT,690,ALIEXPRESS.COM London,4.2
18/04/2021,17/04/2021,,DEBIT,690,PAK N SAVE SYLVIA PARK AUCKLAND,2.41
18/04/2021,18/04/2021,,DEBIT,690,CW Wstfield Newmarket Auckland,80.72
18/04/2021,17/04/2021,,DEBIT,690,Life Pharmacy Sylvia PK Sylvia Park,12.13
18/04/2021,18/04/2021,,DEBIT,690,Tai Ping Newmarket Auckland,0.29
18/04/2021,17/04/2021,,DEBIT,690,BURGER FUEL MT WELLINGTON AUCKLAND,29.43
19/04/2021,19/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-433.19
19/04/2021,18/04/2021,,DEBIT,690,Adairs Sylvia Park Mt Wellington,59
19/04/2021,18/04/2021,,DEBIT,690,TSUJIRI AUCKLAND,30.99
19/04/2021,17/04/2021,,DEBIT,690,BURGER FUEL MT WELLINGTON AUCKLAND,2.81
19/04/2021,17/04/2021,,DEBIT,690,GUTHRIE BOWRON (26) PANMURE,3.36
19/04/2021,18/04/2021,,DEBIT,690,L'AMERICANO ESPRESSO AUCKLAND,14.45
19/04/2021,18/04/2021,,DEBIT,690,COUNTDOWN AUCKLAND,46.09
19/04/2021,17/04/2021,,DEBIT,690,SHAMPOO N THINGS SHOP2 AUCKLAND,4.48
20/04/2021,20/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-87.53
21/04/2021,20/04/2021,,DEBIT,690,AT Hop Auckland Remuera,23.3
21/04/2021,20/04/2021,,DEBIT,690,TOWER INSURANCE - EIS 093692079,7.1
21/04/2021,20/04/2021,,DEBIT,690,TOWER INSURANCE - EIS 093692079,7.82
21/04/2021,20/04/2021,,DEBIT,690,TOWER INSURANCE - EIS 093692079,131.03
22/04/2021,21/04/2021,,DEBIT,690,SKINNY AUCKLAND,12.67
23/04/2021,22/04/2021,,DEBIT,690,CASH ADVANCE WITHDRAWAL,23.78
24/04/2021,23/04/2021,,DEBIT,690,VICTORY CHRISTIAN CHUR AUK,19.17
24/04/2021,24/04/2021,,DEBIT,690,Hesari Supermarket Auckland,78.5
24/04/2021,24/04/2021,,DEBIT,690,PAK N SAVE SYLVIA PARK AUCKLAND,99.45
24/04/2021,23/04/2021,,DEBIT,690,LE PETITE FOURCHETTE AUCKLAND,7.36
24/04/2021,23/04/2021,,DEBIT,690,TB LUNN AVE 103 AUCKLAND,9.5
25/04/2021,24/04/2021,,DEBIT,690,RICHOUX PATISSERIE ELLERSLIE,0.66
25/04/2021,24/04/2021,,DEBIT,690,Z Panmure Auckland,39.72
25/04/2021,24/04/2021,,DEBIT,690,CERES WHOLEFOODS AUCKLAND,14.87
25/04/2021,24/04/2021,,DEBIT,690,LITTLE ELEPHANTS CAFE AUCKLAND,4.99
25/04/2021,23/04/2021,,DEBIT,690,UBER TRIP HELP.UBER.COM Vorden,2.91
25/04/2021,23/04/2021,,DEBIT,690,UBER    TRIP HELP.UBER.COM,1.38
26/04/2021,25/04/2021,,DEBIT,690,LOLA AUCKLAND,4.22
26/04/2021,25/04/2021,,DEBIT,690,HARVEY NORMAN AUCKLAND,227.33
27/04/2021,25/04/2021,,DEBIT,690,KFC PANMURE - 502 PANMURE,21.18
27/04/2021,26/04/2021,,DEBIT,690,SKINNY AUCKLAND,6.67
28/04/2021,27/04/2021,,DEBIT,690,VICTORY CHRISTIAN CHUR AUK,9.59
29/04/2021,29/04/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-30.01
29/04/2021,28/04/2021,,DEBIT,690,FUNLAB NZ LTD AUCKLAND,229.68
29/04/2021,28/04/2021,,DEBIT,690,SKINNY AUCKLAND,4.76
30/04/2021,30/04/2021,,DEBIT,690,CORNER BURGER NEWMARKET,84.9
1/05/2021,1/05/2021,,DEBIT,690,CASH ADVANCE WITHDRAWAL,317.17
1/05/2021,1/05/2021,,DEBIT,690,Z Panmure Auckland,31.87
1/05/2021,30/04/2021,,DEBIT,690,WESTFIELD SHOPPING CTRE AUCKLAND,15.35
1/05/2021,30/04/2021,,DEBIT,690,WESTFIELD SHOPPING CTRE AUCKLAND,8.89
2/05/2021,2/05/2021,,DEBIT,690,Downtown Car Park Auckland,0.63
2/05/2021,30/04/2021,,DEBIT,690,ARCHIE BROTHERS AUCKLAND,65.53
3/05/2021,3/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-452.41
3/05/2021,3/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-77.82
3/05/2021,3/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-94.06
3/05/2021,2/05/2021,,DEBIT,690,NEW WORLD STONEFIELDS AUCKLAND NZ,205.86
3/05/2021,3/05/2021,,DEBIT,690,NETFLIX.COM LOS GATOS CA,13.89
3/05/2021,1/05/2021,,DEBIT,690,COBRA LIQUOR AUCKLAND,2.32
3/05/2021,1/05/2021,,DEBIT,690,KFC PANMURE - 502 PANMURE,8.98
4/05/2021,3/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-1327.98
4/05/2021,2/05/2021,,DEBIT,690,HAWKER ROLL COMMERCIAL BA AUCKLAND,39.85
4/05/2021,2/05/2021,,DEBIT,690,ALIEXPRESS.COM London,57.17
6/05/2021,6/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-2.51
6/05/2021,6/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-23.02
7/05/2021,7/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-24.71
7/05/2021,7/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-12.09
7/05/2021,6/05/2021,,DEBIT,690,VICTORY CHRISTIAN CHUR AUK,17.34
7/05/2021,6/05/2021,,DEBIT,690,TOWER INSURANCE - EIS 093692079,24.97
8/05/2021,8/05/2021,,CREDIT,690,PAYMENT RECEIVED THANK YOU,-66.11
8/05/2021,7/05/2021,,DEBIT,690,VICTORY CHRISTIAN CHUR AUK,26.3
8/05/2021,7/05/2021,,DEBIT,690,OLA HELP.OLA.CO.NZ AUCKLAND,6.52
8/05/2021,6/05/2021,,DEBIT,690,APPLE.COM/BILL SYDNEY,24.28
8/05/2021,6/05/2021,,DEBIT,690,ALIEXPRESS.COM London,28.14
